Batch,Frequency,Frequency Detla,|V| Sadie 1,Vphase Sadie 1,|V| Sadie 2,Vphase Sadie 2,|V| Tucker,Vphase Tucker,|V| Duke,Vphase Duke,|V| Adam,Vphase Adam,|V| Zeus,Vphase Zeus,|V| Murphy,Vphase Murphy,|I| Sadie 1 to Tucker,Iangle Sadie 1 to Tucker,|I| Sadie 1 to Duke,Iangle Sadie 1 to Duke,|I| Sadie 1 to Sadie 2,Iangle Sadie 1 to Sadie 2,|I| Sadie 2 to Tucker,Iangle Sadie 2 to Tucker,|I| Sadie 2 to Duke,Iangle Sadie 2 to Duke,|I| Duke to Adam,Iangle Duke to Adam,|I| Tucker to Adam,Iangle Tucker to Adam,|I| Zeus to Tucker,Iangle Zeus to Tucker,|I| Zeus to Murphy,Iangle Zeus to Murphy,|I| Murphy to Zeus,Iangle Murphy to Zeus,|I| Duke to Murphy,Iangle Duke to Murphy
792,60.006,0.01,26675.3,0,26607.7,0.0011,25166.6,-3.2732,25524.2,-2.2052,25103,-3.262,24230.1,-5.8018,24229.2,-5.6128,704.929,-5.2705,431.106,-1.2242,5.51289,-173.1909,699.466,-4.3348,426.01,-0.8018,259.036,1.4731,15.6745,-101.2817,31.3636,-142.8499,490.754,-184.6849,31.1914,37.8664,570.877,-184.6579
793,60.006,0,26676.1,0,26612.5,-0.0036,25170.3,-3.2751,25524.2,-2.2033,25106.8,-3.2637,24233,-5.8017,24232.2,-5.6127,705.168,-5.3636,431.304,-1.2179,6.28275,-173.4619,699.618,-4.2605,425.833,-0.768,258.882,1.5584,15.6745,-101.3257,31.3636,-142.8939,490.929,-184.6839,31.1914,37.8224,570.836,-184.6059
794,60.006,0,26676.9,0,26613.3,-0.0034,25170,-3.2724,25528.3,-2.2058,25106.4,-3.2609,24237.7,-5.7916,24237,-5.6026,704.929,-5.3584,431.304,-1.2618,6.28275,-173.5058,699.808,-4.2701,425.456,-0.7849,258.882,1.5145,15.6745,-101.3696,31.3636,-142.9378,491.103,-184.6818,31.1914,37.7785,570.622,-184.5928
795,60.006,0.01,26679.9,0,26616.4,-0.0033,25169.6,-3.2784,25528.3,-2.2125,25110.2,-3.2713,24236.5,-5.7959,24235.8,-5.6069,704.216,-5.2636,431.502,-1.2641,5.8658,-175.7584,700.226,-4.3384,426.034,-0.8138,258.882,1.4619,15.6745,-101.4222,31.3636,-142.9904,491.278,-184.6894,31.1914,37.7259,570.408,-184.5884
796,60.006,0.02,26682.6,0,26615,0.0016,25167.3,-3.2717,25528.4,-2.197,25107.9,-3.2645,24233.5,-5.788,24231.1,-5.6089,703.323,-5.1805,431.502,-1.2946,5.8658,-175.7889,700.872,-4.4342,426.235,-0.7936,259.098,1.513,15.5518,-102.9545,31.3636,-143.0209,491.064,-184.6539,31.584,38.0033,570.408,-184.6189
797,60.006,0,26679,0,26613.6,0.0102,25163,-3.2707,25524.3,-2.1962,25103.6,-3.2635,24228.6,-5.7864,24228.1,-5.5973,702.667,-5.1429,431.123,-1.2951,6.34059,-176.3077,701.29,-4.4765,426.235,-0.8204,259.098,1.4862,15.5518,-102.9813,31.3636,-143.0477,491.064,-184.6807,31.754,37.2674,570.232,-184.6857
798,60.006,0,26675.4,0,26610,0.0103,25158.7,-3.2695,25520.3,-2.1953,25099.3,-3.2623,24223.8,-5.7847,24227.5,-5.5999,702.012,-5.1051,431.321,-1.2715,6.16174,-175.2634,701.29,-4.5032,426.235,-0.8471,259.098,1.4595,15.5518,-103.008,31.3636,-143.0744,490.674,-184.6874,31.754,37.2407,570.232,-184.7124
799,60.006,0,26674,0,26606.4,0.0018,25160.5,-3.2721,25522.4,-2.1985,25097,-3.2603,24225,-5.7858,24222.7,-5.6067,702.852,-5.1707,431.52,-1.2566,5.81109,-172.9617,700.644,-4.4733,426.235,-0.8824,259.315,1.5056,15.5518,-103.0433,31.3636,-143.1097,490.85,-184.6767,31.9774,38.2148,570.408,-184.7077
800,60.007,0.02,26674.9,0,26607.3,0.0019,25164.4,-3.274,25526.5,-2.201,25100.8,-3.262,24226.2,-5.7956,24225.8,-5.6066,703.458,-5.1955,431.541,-1.1737,5.81109,-173.0056,700.608,-4.4332,426.06,-0.8486,258.947,1.5096,15.6745,-101.5854,31.3636,-143.1536,490.85,-184.7206,31.584,37.8706,570.371,-184.6566
801,60.007,0.01,26678,0,26614.4,-0.0028,25168.2,-3.2845,25526.6,-2.2077,25104.7,-3.2724,24229.2,-5.8042,24228.9,-5.6151,703.224,-5.1987,431.163,-1.1997,6.16174,-175.3952,700.799,-4.4517,425.509,-0.7961,258.947,1.457,15.5518,-103.1398,31.3636,-143.2062,491.202,-184.6822,31.584,37.818,570.335,-184.6132
